director_name,director_score
Jay Duplass,2595976
Lee Tamahori,32319635
Tom McLoughlin,19472057
Drake Doremus,3388210
Steve Carr,79306210
Arie Posin,49526
Ben Younger,16938179
Henry Selick,40344787
James Foley,12697948
Perry Andelin Blake,40363530
Stephen Kay,20447712
Mike Bruce,243768
Guillermo del Toro,71168710
Allison Anders,2239585
Brian Baugh,3773863
Damien Chazelle,13092000
Stéphane Aubier,71442
Antony Hoffman,17473245
Christophe Gans,46982632
Damon Santostefano,10544143
Kimberly Peirce,23244733
Tom Green,14249005
Alison Maclean,1282084
Thomas Bezucha,14620531
Randall Miller,2187123
Kathryn Bigelow,48863131
Álex de la Iglesia,3607
Bruce Paltrow,4734235
Steven Shainberg,2133825
Mike Newell,43683063
Darren Grant,50382128
Gregor Jordan,353743
Craig Bolotin,5871603
David Kellogg,97360069
Daniel Lee,72413
Craig Johnson,5283379
Tony Jaa,102055
Floria Sigismondi,3571735
Joe Camp,39552600
Taylor Hackford,31855070
Jerry Jameson,4778834
Rob Cohen,84997350
Wes Craven,45688617
Caroline Link,6173485
Lauren Lazin,7707563
Maria Maggenti,1977544
John Lasseter,211116269
Alan Metter,126247
Andy Garcia,2483955
Troy Miller,26096584
Barry Skolnick,92191
David Atkins,2025238
Nacho Vigalondo,38108
Richard Fleischer,20450000
Cédric Klapisch,2774068
Jon Avnet,33988342
Anne Fletcher,85132363
Steve Trenbirth,47887943
Diane Keaton,36037909
Rob Schmidt,15417771
Ekachai Uekrongtham,162
Kevin Lima,97324218
Peter Lepeniotis,64238770
Gore Verbinski,72943882
Wilson Yip,2126511
Salvador Carrasco,886410
Kelly Makin,33864342
Neil Burger,47722104
Joseph Gordon-Levitt,24475193
Michael Anderson,25000000
Mark Dindal,76080276
Noah Buschel,17580
Michel Leclerc,513836
Gregory Widen,16115878
Peter Billingsley,109176215
Cecil B. DeMille,36000000
Jeff Kanew,8508843
Patrick Creadon,3117666
Michael Winterbottom,1940040
John Patrick Shanley,33422556
David Boyd,2859955
Jonathan Teplitzky,4435083
Morgan J. Freeman,216594
Eric Bross,4356743
Joel Schumacher,60861436
Brad Furman,30748254
Bradley Rust Gray,24705
Greg Coolidge,28435406
Gordon Chan,22108977
Jaume Balagueró,11093554
Gary Sinyor,69582
Walter Hill,12033772
Danny Cannon,22134792
Fred Dekker,10696210
Stephen Hillenburg,85416609
Mike McCoy,70011073
John McTiernan,58311510
Gilles Paquet-Brenner,7691700
Anton Corbijn,17901682
Jay Chandrasekhar,30732667
Brian Robbins,32805137
Michael Clancy,70527
Christian Volckman,63260
Don Mancini,17016190
Jorge Ramírez Suárez,100412
Agnieszka Wojtowicz-Vosloo,108229
Ayan Mukerji,3827466
David E. Talbert,21564616
Jorge R. Gutiérrez,50150619
David Gordon Green,21064592
John G. Avildsen,99611749
Michael Landon Jr.,316184
Duncan Jones,35561858
Brendan Malloy,13903262
Pedro Almodóvar,12899702
Stacy Peralta,1784831
Rand Ravich,10654581
Fabián Bielinsky,1221261
Émile Gaudreault,6239558
Jacques Perrin,15084292
Lars von Trier,2115848
Mary Lambert,31343338
Thomas Vinterberg,760618
Jamal Hill,444044
Greg Mottola,26698389
Jun Falkenstein,45542421
Michel Orion Scott,155984
Hugh Wilson,55708283
Ari Sandel,34017854
Randy Moore,169719
Jonathan Kesselman,19539
François Truffaut,26893
Courtney Solomon,13396270
Edward Norton,37036404
David Mamet,6272423
Mor Loushy,34151
Jan de Bont,119164671
Quentin Dupieux,98017
Ronan Chapalain,4074023
Christopher Erskin,31179516
Alex Gibney,274661
Gary David Goldberg,43894863
Paolo Sorrentino,2835886
Roger Michell,71263290
Sarah Gavron,1094998
Keith Gordon,336456
Leigh Whannell,52200504
Robert Zemeckis,134097633
Stuart Gordon,3435379
William A. Graham,2807854
Jeremy Brock,238774
Mimi Leder,71741432
Steve Box,56068547
Bryan Singer,133238600
Jean-Jacques Annaud,36081973
Tom Brady,2331318
Cedric Nicolas-Troyan,47952020
Joel Edgerton,43771291
Max Färberböck,927107
Penny Marshall,82253294
Chris Miller,234970706
Paul Verhoeven,65239433
Josh Schwartz,9402410
Jennifer Flackett,48006503
Jane Campion,16438503
Peter Berg,87173364
Carl Franklin,35219308
Richard Loncraine,22725551
Takeshi Kitano,447750
Larry Charles,50413010
Hal Needham,5333658
Bruce Beresford,76045092
Wolfgang Becker,4063859
Yimou Zhang,2647913
Geoff Murphy,50024083
Vincent Gallo,1365832
Breck Eisner,45033973
Phil Alden Robinson,118471320
Dexter Fletcher,15785632
John Schlesinger,34064786
Richard J. Lewis,7501404
Tim Chambers,1889522
Teddy Chan,129115
Jon Gunn,4414159
Susan Seidelman,3123749
Tom McCarthy,25363778
Peter Ramsey,103400692
John Badham,79568000
Pitof,40198710
Rodman Flender,4002955
Mark Rosman,33839467
Steve Barron,15091542
Paul Thomas Anderson,21886070
David G. Evans,2428241
Gary Ross,182845555
Lawrence Guterman,55192898
Kate Barker-Froyland,20200
Davis Guggenheim,10623990
Susanne Bier,2849142
Matt Piedmont,5895238
Alexandre Aja,19779983
Walt Becker,81144444
Franklin J. Schaffner,800000
Takashi Shimizu,74659855
Tom Schulman,3559990
Joe Roth,83654787
Paul McGuigan,12523442
Frank Oz,38042428
Joe Johnston,121756789
Ron Howard,104837830
Glenn Ficarra,46709119
Mick Jackson,84709916
David Leland,146083
Peter Lord,68922520
Luis Llosa,61460285
Roger Spottiswoode,53634485
Eric Brevig,100935564
Brad Bird,108647363
Peter Atencio,20566327
John Curran,4921857
René Féret,706622
Leon Ichaso,18272447
Roland Joffé,5734196
Kevin Munroe,27657975
John Duigan,15593
Dean Parisot,64066593
Callie Khouri,45127693
Eli Roth,24002936
Kevin Costner,37961035
Stanley Tong,32333860
Tony Maylam,5430822
Tuck Tucker,13684949
Finn Taylor,464655
Claudia Llosa,52961
John Woo,95491372
Wallace Wolodarsky,10198766
Herbert Ross,80000000
Takao Okawara,10037390
Robert Stromberg,241407328
François Ozon,6590965
Brad Silberling,61968358
Michael Hoffman,15812603
Chris Kentis,21528056
James Gray,8644778
Dagur Kári,19959
Mike Leigh,3446448
Nancy Walker,2000000
James David Pasternak,7826
Nick Hurran,20422207
Jamie Babbit,1290519
Steve Hickner,126597121
Marielle Heller,1477002
Mark Illsley,1943649
Trent Cooper,15655665
Danny DeVito,9652000
Robert Marcarelli,12610552
Ron Fricke,2601847
Lucrecia Martel,304124
David Ayer,55865480
Frank Nissen,18081626
James Marsh,19422620
Igor Kovalyov,100491683
Jee-woon Kim,6077578
Chris Wedge,137367571
Frank Darabont,54632879
Harry F. Millarde,3000000
Danny Pang,15279680
Frank Sebastiano,475000
Majid Majidi,925402
Robert Cary,220234
Larry Clark,3963651
John Polson,39830795
Akira Kurosawa,158958
Robert Moresco,53481
Stephen Daldry,25924134
Malcolm D. Lee,39059954
Kirk De Micco,108635757
Don Siegel,36500000
Mike Judge,7359253
Russell Mulcahy,41351963
David Nixon,2848578
Paul Crowder,144431
Joey Lauren Adams,117560
Wayne Kramer,7549508
Quentin Tarantino,78017449
Ryûhei Kitamura,73548
Ricky Gervais,18439082
Clare Kilner,22846909
Chan-wook Park,1365078
Lynn Shelton,1573712
Rachel Perkins,110029
Benh Zeitlin,12784397
Annabel Jankel,20915465
Shane Acker,31743332
Joshua Michael Stern,16284360
Steve Bendelack,32553210
Nigel Cole,11465291
Mark Osborne,108367086
Tim McCanlies,20986531
Luc Besson,54837368
Michael D. Sellers,71904
Hong-jin Na,770629
Enrique Begne,3105269
Marco Schnabel,32178777
Russell Holt,3347439
Robert Schwentke,78844291
Andrew Morahan,13829734
Fred Savage,13235267
Elaine May,14375181
Mike van Diem,713413
Janusz Kaminski,16779636
Bruce Dellis,2468
Craig Mazin,12942415
John Dahl,14368052
Kenneth Johnson,1686429
Henry Alex Rubin,1523883
Timur Bekmambetov,57857445
Miguel Sapochnik,13763130
Fede Alvarez,54239856
Jared Hess,41617368
Hue Rhodes,100669
David Frankel,91696191
Pierre Morel,45041021
Linda Mendoza,6126237
Matthew Diamond,1064277
David Yates,183353499
Ian Fitzgibbon,828
Youssef Delara,2833383
Joby Harold,14373825
Kevin Tancharoen,17156524
Shona Auerbach,1340891
Victor Fleming,110428945
Denzel Washington,25652144
Doug Liman,69808587
John Whitesell,47461476
Daniel Taplitz,11827301
Rupert Wainwright,50041732
Hans Petter Moland,64148
Tom Tykwer,12417028
Stanley Kramer,46300000
DJ Pooh,9959215
Peter R. Hunt,22800000
Charles Martin Smith,46309696
Gus Van Sant,40860468
Michael Cimino,1500000
Danny Boyle,31895218
Pete Docter,313113780
David Sington,1134049
Richard Glatzer,10173199
Rob Zombie,19484080
Lance Hool,229311
Will Finn,29243671
Mathieu Kassovitz,41059883
Todd Lincoln,4930798
Tina Gordon Chism,9123834
William A. Fraker,8000000
Bill Muir,549632
Hark Tsui,10076136
Marius A. Markevicius,133778
Roger Avary,3472357
Richard Benjamin,8523554
Sally Potter,396035
Risa Bramon Garcia,6851636
Gene Teigland,23616
M. Night Shyamalan,121621863
Shari Springer Berman,3228333
David Webb Peoples,882290
Leonard Nimoy,138747046
Brian Helgeland,36781732
Claude Chabrol,181798
John Lee Hancock,91931980
Adam McKay,87408281
Stefen Fangmeier,75030163
Robert B. Weide,2775593
David M. Matthews,2592808
Michael Moore,41168766
Christopher Leitch,7888703
James Toback,1003112
Rich Moore,189412677
Marcos Siega,5654777
Steve Beck,35973638
Brian Gibson,41967834
Jim Abrahams,83400000
Scott Frank,25977365
Kevin Spacey,3235557
Norman Jewison,18373348
John Landis,82202500
Steven Seagal,38590500
Robert Townsend,5228617
Michael O. Sajbel,8406022
Russell Crowe,4190530
Barry Levinson,47977634
Joshua Tickell,173783
Michael Apted,49353761
Jon Hurwitz,47405723
Emilio Estevez,11204499
Milos Forman,66060211
Andy Fickman,66349220
Gregory Jacobs,66009973
Ava DuVernay,26072015
Josh Trank,58933646
Michael Radford,3752725
Gaspar Noé,544984
Anthony Powell,287761
Rupert Wyatt,105185935
Jesse Dylan,62696845
James Ivory,12859911
James Fargo,1000000
Eric Bress,23947
Ray Lawrence,399879
Stuart Baird,55934939
Mike Binder,20165517
Sanaa Hamri,32804053
Conor McPherson,128937
Maggie Greenwald,3050934
Stefan Schwartz,302204
Genndy Tartakovsky,159002810
Pierre Coffin,309775640
Mark Piznarski,10494147
Joshua Seftel,578527
Miranda July,3885134
Andrea Arnold,373060
Theodore Witcher,12514138
Jake Scott,152857
Max Joseph,3590010
Sherman Alexie,174682
Alan Parker,34794272
Jon Stewart,3093491
Anna Boden,6350058
Lajos Koltai,195888
Robert Harmon,22189039
Debra Granik,6531491
Melvin Van Peebles,15180000
Alex Smith,13134
Thor Freudenthal,70790968
Michael Schultz,19939865
Elizabeth Banks,96132575
Steven Quale,45064615
John Stockwell,29295391
Randal Kleiser,108076580
Peter Chelsom,46699480
Michael Haneke,1247554
Tony Kaye,3368024
Bryan Barber,12549485
Michael Polish,2368760
Jon M. Chu,71897269
Charles Stone III,39099232
Jerome Robbins,43650000
Myles Berkowitz,536767
Philip Saville,4068087
Andrey Konchalovskiy,190562
Jeff Tremaine,89056631
José Luis Valenzuela,428535
Simon Wells,39032067
Andrew Haigh,469947
Stephen Frears,24636803
Goran Dukic,104077
Mars Callahan,562059
Tom Hanks,30687894
Tony Goldwyn,16040010
Kar-Wai Wong,3730457
Denys Arcand,3432342
Jeremy Saulnier,1738571
Jon Lucas,45532793
Matt Bettinelli-Olpin,15818967
Kenneth Branagh,54137487
Christian E. Christiansen,37300107
S.R. Bindler,36497
Peter Stebbings,37606
Alan Rudolph,175370
Dinesh D'Souza,33349949
John Cornell,109306210
Gil Junger,35799457
Dominic Sena,60561607
Kevin Allen,11704219
Rohit Jagessar,227241
Jirí Menzel,617228
David Carson,75668868
Rob Minkoff,83423053
Amy Heckerling,24032854
Marcus Dunstan,6842058
Wally Pfister,23014504
Rob Marshall,149189145
John Luessenhop,46039488
Gary Hardwick,27457409
Jamie Travis,1243961
Meiert Avis,1046166
Clark Gregg,2926565
Karan Johar,3647069
Dito Montiel,28870
Mike Bigelow,22264487
Jean-Jacques Mantello,7518876
Barbra Streisand,48813342
Christopher Cain,22896599
David S. Ward,49797148
John Michael McDonagh,5359774
Tony Gilroy,67583511
Darnell Martin,8134217
Keenen Ivory Wayans,57018530
James Watkins,5824
Beeban Kidron,40203020
Sheldon Lettich,16688152
Elizabeth Allen Rosenbaum,22378561
Reginald Hudlin,43515092
Neill Dela Llana,70071
Steven R. Monroe,92401
John Erick Dowdle,28439563
John Frankenheimer,25512380
Alan Poul,37481242
Max Mayer,2277396
Luis Mandoki,38421768
John Carpenter,24413499
Paul Haggis,34255408
John Turturro,688363
Roger Allers,253543667
John Gatins,32701088
Christopher M. Bessette,15059
Jodie Foster,958319
Bob Dolman,30306281
Elia Kazan,9600000
Dewey Nicks,4814244
Robinson Devor,110720
Adam Rapp,101228
Graham Annable,50807639
Marc Levin,982214
Gary Chapman,19447478
Ron Shelton,25338681
Jim Sheridan,30981850
Ulu Grosbard,13376506
John Sayles,4628904
Carlos Carrera,5709616
Sol Tryon,12055
Hoyt Yeatman,119420252
Todd Strauss-Schulson,35033759
McG,87351650
Stephen Chbosky,17738570
Peter Hyams,34837036
Alan Cohn,15062898
Rohan Sippy,563699
Babak Najafi,62401264
Greg Berlanti,1744858
Adam Brooks,31973840
Jean-François Richet,19976073
Peter MacDonald,53715611
Joe Wright,34863775
Robert Kenner,4417124
Mario Van Peebles,27012
Oliver Stone,52200311
Jeff Schaffer,17718223
Steve Miner,13828733
Kelly Reichardt,696631
Newt Arnold,11806119
Jim Jarmusch,3300230
Richard Donner,61460675
Mel Brooks,81306494
Catherine Jelski,58163
Ash Brannon,58867694
Spike Jonze,36970759
Darren Lynn Bousman,50145198
Kevin Hooks,17100000
Levan Gabriadze,31537320
David Raynr,12311973
Nat Faxon,21501098
Les Mayfield,38174620
John Lafia,28501605
Alexander Witt,50740078
Jill Sprecher,1865894
Kat Coiro,20186
Justin Lin,81324159
Christopher Guest,11141198
Todd Field,20689126
Geoffrey Sax,28259120
Peter Sollett,16780638
Frank LaLoggia,1705139
Tim Blake Nelson,16017403
Mark Brown,11164131
Hart Bochner,4350774
Brett Leonard,28074500
Martin McDonagh,14989761
Mark Mylod,13987482
Gabor Csupo,82234139
Mike Nichols,42178760
Simon Curtis,23951221
Mic Rodgers,10431220
Julie Anne Robinson,44669273
Ken Scott,20436915
Joe Nussbaum,9959544
Brandon Trost,40557
Anand Tucker,3788462
Jean-Marie Poiré,1874359
Marc Abraham,4234040
Maggie Carey,3447339
Phil Joanou,38432823
István Szabó,7739049
Kevin Macdonald,19717492
Siddiq Barmak,1127331
Sam Firstenberg,4000000
Sam Peckinpah,14873
Franck Khalfoun,12843
Bill Plympton,203134
David Mirkin,40334024
Peter Hastings,16988996
Corey Yuen,480314
Christopher Landon,32453345
Mike Mitchell,125237609
Scott Waugh,43568507
Bob Odenkirk,2757370
Mark Rydell,29200000
Alex Rivera,75727
Steve Carver,12200000
John Wells,37738400
Petter Næss,313436
Michael Dinner,13019253
Alex Garland,25440971
Piyush Dinker Pandya,902835
Nadine Labaki,1060591
Jesse Vaughan,13571817
Alex Kendrick,26049454
Sylvio Tabet,869325
Menno Meyjes,7486906
Peter Segal,90817089
Jim Gillespie,72219395
Marc Forby,883887
Robby Henson,978908
Ridley Scott,86915674
Ron Underwood,16667084
Bille August,2221994
Liz Friedlander,34703228
Brandon Camp,22927390
Roland Emmerich,119046932
Jimmy Hayward,33143569
Jorma Taccone,8460995
Matt Maiellaro,5518918
Steven Zaillian,31962179
John Waters,3112934
Greg Harrison,653126
Mark Andrews,237282182
Sylvester Stallone,86625371
Catherine Hardwicke,78962929
Maryam Keshavarz,439958
Emma-Kate Croghan,212285
Zal Batmanglij,405614
Jay Levey,6157157
Stephen Gaghan,37449981
Kirk Jones,36288821
Robert Lee King,265107
David Dobkin,36600260
Siddharth Anand,872643
Laurence Dunmore,4829497
William Arntz,10941801
Eugène Lourié,5000000
Alejandro Amenábar,32870974
Angelina Jolie Pitt,77246323
Don Kempf,18642318
Fred Durst,11508423
Dan Gilroy,32279955
Gia Coppola,750100
Jeff Nathanson,463730
Darren Aronofsky,41885826
Oliver Hirschbiegel,10286727
David Slade,113700023
Andrew Wilson,127144
Marc Forster,79811651
Phil Lord,178172594
William Shatner,55210049
Daisy von Scherler Mayer,3034181
Matthew Vaughn,58783243
Xavier Gens,19854764
Rick Rosenthal,30259652
Shane Meadows,173176
Matt Reeves,110339107
Alessandro Carloni,143523463
Mark L. Lester,8687778
Frank Miller,35877099
Kevin Reynolds,69030827
Rafa Lara,169379
Oren Peli,107917283
Jason Reitman,70875635
Luis Valdez,54215416
Bronwen Hughes,26539321
Sarah Smith,46440491
Mike Nawrocki,19136615
Michael Gornick,14000000
Jason Alexander,39852
Bille Woodruff,23393527
George Tillman Jr.,34716089
Edward Zwick,56292012
Bill Duke,10572742
Rebecca Miller,712294
David Fincher,86390452
Jay Roach,144789222
Philip Kaufman,14280438
Peter Landesman,34531832
Scott Marshall,2166927
Francis Lawrence,198917507
Adam Marcus,15935068
Steve McQueen,30334087
Lawrence Kasdan,19457037
Peter Howitt,17167359
Larry Blamire,110536
Ice Cube,23031390
Jim Hanon,11703287
Jim Goddard,2315683
Tim Hill,42504934
Catherine Gund,21199
James Wong,38917979
Tobe Hooper,37971422
Harold Cronk,20773070
George Miller,79855941
Clay Kaytis,107225164
Burr Steers,27718895
Robert Redford,28007875
Tom Ford,9166863
Andrew Stanton,225901479
E. Elias Merhige,8495790
Sngmoo Lee,5664251
Forest Whitaker,60033780
Bob Clark,66320979
Douglas McGrath,4033164
Jonathan Lynn,35177212
Karyn Kusama,21031390
Mira Nair,10102398
John Maybury,6301131
Rachel Talalay,4064333
Sajid Khan,1165104
Betty Thomas,71432526
David Robert Mitchell,14673301
Norman Ferguson,84300000
Duke Johnson,3442820
Vic Armstrong,13998282
Eric Styles,7680
Paul Feig,116300359
Peter Medak,3275585
Jennifer Yuh Nelson,165230261
Richard Williams,669276
John Hillcoat,4861440
Joe Pytka,90443603
Rick de Oliveira,3713002
Lana Wachowski,114539781
Robert Rodriguez,51575138
William Cottrell,184925485
Jonathan Mostow,79026956
Uli Edel,7016129
Andrés Muschietti,71588220
Jugal Hansraj,55202
Kevin Jordan,277233
Kenneth Lonergan,4613385
Adrienne Shelly,19067631
Edgar Wright,27038735
Scott Alexander,6982680
Chris Paine,1677838
Daniel Barber,1818681
Howard Deutch,31944461
John Putch,3333823
Kief Davidson,100240
Matthew Robbins,6000000
Richard Ayoade,466702
Florence Ayisi,32631
James Algar,79901459
Benny Boom,10017041
Michael Mayer,11013863
Reed Cowan,99851
Pan Nalin,16892
Nanette Burstein,17797316
George Sidney,8000000
Tony Bill,13082288
David Jacobson,568695
Jeremy Leven,22200000
Cody Cameron,119793567
Sylvain Chomet,7002255
Chris Eyre,6719300
Benson Lee,8888355
Brad Anderson,14178771
Patricia Rozema,17655201
Hitoshi Matsumoto,22770
Alan J. Pakula,71822610
Charles Herman-Wurmfeld,48415656
Bruce McDonald,3478
Michael Sucsy,125014030
Ruben Fleischer,56322105
Jez Butterworth,4919896
Ben Falcone,73776455
Patty Jenkins,34468224
Bob Gosse,1425993
Gavin Hood,24744509
Jessica Bendinger,26870825
Jim Fall,42672630
Ruba Nadda,4063
Jafar Panahi,673780
Kevin Donovan,50189179
Yorgos Lanthimos,110197
Jeff Lowell,7563670
Wayne Beach,1181197
Andrew Currie,298110
Johnnie To,49413
Harold Becker,37991927
J.C. Chandor,6262942
Cyrus Nowrasteh,6462576
Tom Gormican,26049082
Michael Ritchie,43968571
J.B. Rogers,75306764
Jon Shear,1027119
Michael Herz,792966
Dwight H. Little,24647196
John Bonito,18843314
Duncan Tucker,9013113
Donald Petrie,42597837
Jerry Zaks,12782508
Joseph Sargent,20763013
E.L. Katz,59379
Drew Barrymore,13034417
Paul Gross,4239767
Lucio Fulci,126387
Doug Atchison,18811135
Joe Swanberg,186510
Martin Scorsese,53641973
Carlos Saura,1687311
Rick Friedberg,26906039
Gregory Nava,35422828
Gary Fleder,19301843
Darren Stein,1538720
Walter Salles,3156590
Scott Hicks,35583306
Spike Lee,16857300
Sylvain White,42442088
Vincenzo Natali,489220
Mel Gibson,42319717
Mark Herman,6812790
Cheryl Dunye,17321573
Tom Shadyac,114785884
Ricki Stern,1111
Marc Lawrence,57816812
Charles Chaplin,163245
Roman Polanski,17170880
Robert Luketic,68662076
Peter M. Cohen,4142507
Juan José Campanella,20167424
Jeff Nichols,6768182
Hyung-rae Shim,5559985
Måns Mårlind,62321039
Jonathan Kaplan,10114315
Chuan Lu,119922
Bibo Bergeron,105782341
John Carney,12803337
Robert Ben Garant,20339754
Josh Boone,124868837
Neill Blomkamp,80088540
Henry Jaglom,821997
Daniel Hsia,10443
Christopher Morris,304137
Judd Apatow,97464707
Denis Villeneuve,38231814
J.S. Cardone,6755271
Kaige Chen,668171
Billy Bob Thornton,20001270
John Stainton,28399192
Mark Christopher,16574731
Sean Anders,62514475
Pat O'Connor,25178165
Will Gluck,70857008
R.J. Cutler,50461335
Griffin Dunne,23361862
Eric Darnell,152696378
Ringo Lam,14095303
John Moore,47027413
Steve James,4181400
Anna Muylaert,375723
Jake Kasdan,39783454
Clive Barker,14564027
Matty Rich,5796499
Andrew Erwin,7892777
Daniel Barnz,16581724
Nick Gomez,15427192
Florent-Emilio Siri,34636443
Akiva Schaffer,27540615
Paul Mazursky,2104000
Emile Ardolino,2119994
Dean DeBlois,181579762
George Lucas,348283696
Andrey Zvyagintsev,502028
Frank Whaley,703